#separator:tab
#html:true
#tags column:3
Die {{c1::Krankenpflegerin::die Krankenschwester}} kümmert sich aufopferungsvoll/&nbsp;hingebungsvoll/leidenschaftlich um die Patienten.	Als Krankenpflegerin auf der Intensivstation trägt sie viel Verantwortung.	
Viele Ärzte müssen im Krankenhaus {{c1::im Schichtdienst arbeiten::in Schichten arbeiten}}.	Nach zehn Jahren fiel es ihr schwer, noch immer im Schichtdienst zu arbeiten.	
Die Kinder {{c1::rennen}} fröhlich im Garten {{c1::herum::laufen / eilen/sich beilen}}.	Bitte hör auf, ständig in der Wohnung herumzurennen.	
Das ständige Klingeln des Telefons ist heute extrem {{c1::nervig::anstrengend / störend}}.	Diese laute Baustelle vor meinem Fenster ist wirklich nervig.	
Die Hitze im Hochsommer war in der kleinen Wohnung {{c1::unerträglich::nicht auszuhalten}}.	Der Schmerz nach dem Sturz war fast unerträglich.	
Dieser alte Schrank vom Flohmarkt ist noch sehr {{c1::gut erhalten::in gutem Zustand}}.	Das antike Buch aus dem 18. Jahrhundert ist erstaunlich gut erhalten.	
Er hat mir sein altes Auto günstig {{c1::überlassen::abgeben / zur Verfügung stellen}}.	Ich werde diese schwierige Aufgabe lieber den Experten überlassen.	
Mein {{c1::ehemaliger::früher}} Chef hat mir zum Geburtstag gratuliert.	Das neu renovierte Gebäude ist eine ehemalige Fabrik.	
Er ist in einem einfachen {{c1::Arbeiterviertel::der Industriebezirk}} aufgewachsen.	Die Mieten in dem alten Arbeiterviertel steigen rasant an.	
Plötzlich {{c1::kam}} ein starker Wind {{c1::auf::entstehen}}.	Während der Konferenz kam die Frage nach dem Budget auf.	
Wir müssen die Organisation der Party jetzt selbst {{c1::in die Hand nehmen::sich kümmern um}}.	Wenn niemand etwas tut, muss ich das Problem wohl selbst in die Hand nehmen.	
Kann ich morgen früh bei dir zur Arbeit {{c1::mitfahren::als Beifahrer reisen}}?	Sie ist am Wochenende bei ihren Freunden nach Berlin mitgefahren.	
Nach einem Jahr im Ausland ist sie in ihre Heimat {{c1::zurückgekehrt::wiederkommen}}.	Die Vögel sind nach dem kalten Winter endlich wieder zurückgekehrt.	
Sie kam tief {{c1::gebräunt::braun gebrannt}} aus dem Sommerurlaub zurück.	Seine Haut war von der harten Arbeit auf dem Feld dunkel gebräunt.	
Viele Menschen schätzen die {{c1::Anonymität::die Unbekanntheit}} der Großstadt.	Im Internet nutzen viele Leute die Anonymität, um böse Kommentare zu schreiben.	
Ich möchte nicht _in_ diesen Streit {{c1::verwickelt::hineinziehen}} werden.	Er war in einen komplizierten Betrugsfall verwickelt.	
An kalten Tagen {{c1::vermisst sie sich::stark wünschen}}&nbsp; nach Sonne und Wärme	Nach all dem Stress sehnt er sich nur noch nach etwas Ruhe.	
Die Polizei konnte den Dieb durch die ganze Stadt {{c1::verfolgen::hinterherlaufen / beobachten-achten auf}}.	Wir werden dieses ehrgeizige Ziel auch weiterhin verfolgen.	
Ich hätte {{c1::beinahe::fast}} meinen Zug verpasst.	Die Veranstaltung war beinahe restlos ausverkauft.	
In unserem {{c1::Mehrfamilienhaus::das Wohnhaus}} wohnen insgesamt sechs Parteien.	Der Architekt plant den Bau eines großen Mehrfamilienhauses im Zentrum.	
Die junge Familie hat ein kleines {{c1::Reihehaus:: verbundene Wohnhaus}} mit Garten gekauft.	In ihrer Straße stehen viele baugleiche Reihenhäuser nebeneinander.	
Bei diesem günstigen Angebot musste ich einfach {{c1::zuschlagen::kräftig schlagen / die Chance nutzen}}.	Der wütende Mann drohte damit, sofort zuzuschlagen.	
Auf dem Spielplatz können sich die Kinder nachmittags richtig {{c1::austoben::seine Energie freisetzen}}.	Der Hund muss jeden Tag im Park rennen, um sich richtig auszutoben.	
Seine {{c1::Handschrift::persönliche Schrift}} ist leider sehr schwer zu lesen.	Mit viel Übung hat sie sich eine sehr elegante Handschrift angeeignet.	
Er kann blind und rasend schnell auf dem Computer {{c1::tippen::auf der Tastatur schreiben}}.	Ich werde dir die genauen Daten gleich in einer E-Mail tippen.	
Die {{c1::Digitalisierung::der technologische Wandel}} verändert fast alle Berufsfelder.	Viele Schulen sind bei der Digitalisierung leider noch im Rückstand.	
Bei all dem Stress ist mein Hobby leider {{c1::in den Hintergrund geraten/treten::an Bedeutung verlieren}}.	Ihre eigenen Wünsche sind wegen der Kinder völlig in den Hintergrund geraten.	
Vergiss nicht, dein Dokument regelmäßig {{c1::abzuspeichern::sichern / digital aufbewahren}}.	Ich muss die wichtigen Fotos auf einer externen Festplatte abspeichern.	
Der sichere {{c1::Umgang::die Handhabung}} mit dem Internet wird immer wichtiger.	Sein grober Umgang mit den Kollegen sorgt oft für Konflikte.	
In der ersten Klasse lernen die Kinder erst Druckschrift, dann {{c1::Schreibschrift::die verbundene Schrift}}.	Meine Oma schreibt ihre Briefe immer noch in perfekter Schreibschrift.	
Es dauert Jahre, um ein Musikinstrument perfekt zu {{c1::erlernen::lernen / sich aneignen}}.	Sie hofft, im neuen Kurs endlich fließend Spanisch zu erlernen.	
Der {{c1::Fokus::der Schwerpunkt}} dieser Präsentation liegt auf unseren neuen Produkten.	Wir dürfen den Fokus nicht auf unwichtige Details verlieren.	
Mein Vater hat mir {{c1::beigebracht::lehren / vermitteln}}, wie man Fahrrad fährt.	Der Lehrer versucht, den Schülern komplizierte Mathematik beizubringen.	
Wenn man eine Sprache nicht spricht, kann man sie schnell {{c1::verlernen::vergessen (Fähigkeit)}}.	Es heißt, dass man das Schwimmen niemals ganz verlernen kann.	
Die neue medizinische Studie lieferte wichtige {{c1::Erkenntnisse::die Einsicht}}.	Die Erkenntnis, dass er sich geirrt hatte, kam ziemlich spät.	
Einem Bericht {{c1::zufolge::laut / nach (mit +Dativ)}} steigen die Preise im nächsten Jahr weiter an.	Gerüchten zufolge soll das Geschäft bald endgültig schließen.	
Das Testament muss unbedingt {{c1::handschriftlich::mit der Hand geschrieben}} verfasst werden.	Er füllte das lange Formular komplett handschriftlich aus.	
Das Wetter war kalt, aber {{c1::immerhin::wenigstens}} hat es nicht geregnet.	Das Hotel war sehr alt, aber immerhin war das Bett bequem.	
Wir sollten unsere Erfahrungen bei diesem Projekt regelmäßig {{c1::austauschen::wechseln / diskutieren}}.	Der Mechaniker muss die kaputten Bremsen am Auto austauschen.	
Der {{c1::Unterrichtsstoff::das Lernmaterial}} für die morgige Prüfung ist sehr umfangreich.	Der Lehrer hat den gesamten Unterrichtsstoff sehr gut erklärt.	
Die {{c1::Vorlesung::der Vortrag an der Uni}} des Professors war heute besonders interessant.	Wegen Krankheit fällt die heutige Vorlesung über Geschichte leider aus.	
Das {{c1::Skript::das Lernheft / die Unterlagen}} zur Vorlesung kann man online herunterladen.	Er hat das gesamte Skript für die Klausur in einer Woche durchgelesen.	
Er muss bis Freitag einen langen Bericht {{c1::verfassen::schreiben}}.	Goethe verfasste in seinem Leben unzählige berühmte Gedichte.	
Es ist mir völlig {{c1::gleichgültig::egal / desinteressiert}}, welches Restaurant wir heute wählen.	Seine Probleme lassen sie merkwürdigerweise völlig gleichgültig.	
Bitte schreiben Sie Ihren Namen {{c1::leserlich::gut zu lesen}} in Druckbuchstaben.	Die alten Dokumente waren durch die Nässe kaum noch leserlich.	
Für das Theater hat sie sich ein sehr {{c1::schickes::elegant / modisch/ausgefallen}} Kleid gekauft.	Er fuhr mit einem unglaublich schicken neuen Sportwagen vor.	
Die Eltern schicken ihr Kind auf eine teure {{c1::Privatschule::die nichtstaatliche Schule}}.	Kleine Klassen sind der große Vorteil dieser modernen Privatschule.	
Das Gymnasium ist eine {{c1::allgemeinbildende::die Allgemeinbildung fördernd}} Schule.	Diese allgemeinbildenden Kurse bereiten die Schüler auf das Leben vor.	
Wir hoffen auf {{c1::beständiges::dauerhaft / stabil}} Sommerwetter für unser Fest.	Ihre Leistungen im Unternehmen sind auf einem beständig hohen Niveau.	
Zu den normalen Kosten kommen noch Gebühren für den Versand {{c1::hinzu::dazukommen}}.	Bei diesem Gericht kommt am Ende noch frischer Koriander hinzu.	
